# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-22 00:00:00,2746240,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-21 00:00:00,2750120,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-20 00:00:00,2755430,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-19 00:00:00,2759530,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-18 00:00:00,2764040,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-17 00:00:00,2768960,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-16 00:00:00,2773070,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-15 00:00:00,2777790,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-14 00:00:00,2780670,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-13 00:00:00,2785610,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-12 00:00:00,2789530,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-11 00:00:00,2793030,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-10 00:00:00,2798190,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-09 00:00:00,2802320,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-08 00:00:00,2808120,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-07 00:00:00,2812480,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-06 00:00:00,2817450,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-05 00:00:00,2822430,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-04 00:00:00,2826380,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-03 00:00:00,2832010,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-02 00:00:00,2834910,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Storage,2019-02-01 00:00:00,2840540,Acre feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-24 00:00:00,3526.89,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-23 00:00:00,3527.11,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-22 00:00:00,3527.36,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-21 00:00:00,3527.55,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-20 00:00:00,3527.81,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-19 00:00:00,3528.01,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-18 00:00:00,3528.23,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-17 00:00:00,3528.47,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-16 00:00:00,3528.67,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-15 00:00:00,3528.9,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-14 00:00:00,3529.04,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-13 00:00:00,3529.28,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-12 00:00:00,3529.47,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-11 00:00:00,3529.64,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-10 00:00:00,3529.89,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-09 00:00:00,3530.09,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-08 00:00:00,3530.37,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-07 00:00:00,3530.58,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-06 00:00:00,3530.82,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-05 00:00:00,3531.06,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-04 00:00:00,3531.25,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-03 00:00:00,3531.52,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-02 00:00:00,3531.66,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Elevation,2019-02-01 00:00:00,3531.93,Feet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-24 00:00:00,3047.74,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-23 00:00:00,2999.9,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-22 00:00:00,3009.72,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-21 00:00:00,3025.86,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-20 00:00:00,2988.1,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-19 00:00:00,2958.35,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-18 00:00:00,2949.61,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-17 00:00:00,2891.71,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-16 00:00:00,2908.45,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-15 00:00:00,2919.42,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-14 00:00:00,2985.83,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-13 00:00:00,3096.26,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-12 00:00:00,3166.02,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-11 00:00:00,3263.94,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-10 00:00:00,3279.82,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-09 00:00:00,3228,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-08 00:00:00,3193.26,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-07 00:00:00,3266.02,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-06 00:00:00,3303.32,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-05 00:00:00,3367.43,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-04 00:00:00,3232.85,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-03 00:00:00,2912.9,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-02 00:00:00,3032.74,cubic feet per second
HUNGRY HORSE RES NR HUNGRY HORSE; MT,hgh,Reservoir Release,2019-02-01 00:00:00,3185.45,cubic feet per second
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-24 00:00:00,1543590,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-23 00:00:00,1539560,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-22 00:00:00,1535660,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-21 00:00:00,1531230,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-20 00:00:00,1527900,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-19 00:00:00,1521820,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-18 00:00:00,1515600,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-17 00:00:00,1507400,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-16 00:00:00,1499070,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-15 00:00:00,1487960,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-14 00:00:00,1478030,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-13 00:00:00,1469280,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-12 00:00:00,1460600,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-11 00:00:00,1454120,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-10 00:00:00,1443750,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-09 00:00:00,1437270,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-08 00:00:00,1428590,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-07 00:00:00,1420940,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-06 00:00:00,1411390,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-05 00:00:00,1402360,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-04 00:00:00,1395360,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-03 00:00:00,1382010,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-02 00:00:00,1372980,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Storage,2019-02-01 00:00:00,1363500,Acre feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-24 00:00:00,4352.24,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-23 00:00:00,4352.17,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-22 00:00:00,4352.1,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-21 00:00:00,4352.02,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-20 00:00:00,4351.96,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-19 00:00:00,4351.85,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-18 00:00:00,4351.74,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-17 00:00:00,4351.59,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-16 00:00:00,4351.44,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-15 00:00:00,4351.24,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-14 00:00:00,4351.06,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-13 00:00:00,4350.9,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-12 00:00:00,4350.74,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-11 00:00:00,4350.62,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-10 00:00:00,4350.43,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-09 00:00:00,4350.31,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-08 00:00:00,4350.15,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-07 00:00:00,4350.01,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-06 00:00:00,4349.83,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-05 00:00:00,4349.66,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-04 00:00:00,4349.53,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-03 00:00:00,4349.28,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-02 00:00:00,4349.11,Feet
American Falls Reservoir at American Falls; ID,amf,Reservoir Elevation,2019-02-01 00:00:00,4348.93,Feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-24 00:00:00,13042,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-23 00:00:00,13012,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-22 00:00:00,12997,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-21 00:00:00,12994,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-20 00:00:00,12991,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-19 00:00:00,12982,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-18 00:00:00,12977,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-17 00:00:00,12971,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-16 00:00:00,12965,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-15 00:00:00,12956,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-14 00:00:00,12944,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-13 00:00:00,12915,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-12 00:00:00,12874,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-11 00:00:00,12865,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-10 00:00:00,12850,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-09 00:00:00,12839,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-08 00:00:00,12833,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-07 00:00:00,12821,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-06 00:00:00,12821,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-05 00:00:00,12818,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-04 00:00:00,12806,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-03 00:00:00,12786,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-02 00:00:00,12769,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Storage,2019-02-01 00:00:00,12754,Acre feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-24 00:00:00,7202.98,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-23 00:00:00,7202.88,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-22 00:00:00,7202.83,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-21 00:00:00,7202.82,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-20 00:00:00,7202.81,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-19 00:00:00,7202.78,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-18 00:00:00,7202.76,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-17 00:00:00,7202.74,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-16 00:00:00,7202.72,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-15 00:00:00,7202.69,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-14 00:00:00,7202.65,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-13 00:00:00,7202.55,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-12 00:00:00,7202.41,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-11 00:00:00,7202.38,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-10 00:00:00,7202.33,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-09 00:00:00,7202.29,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-08 00:00:00,7202.27,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-07 00:00:00,7202.23,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-06 00:00:00,7202.23,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-05 00:00:00,7202.22,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-04 00:00:00,7202.18,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-03 00:00:00,7202.11,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-02 00:00:00,7202.05,Feet
Grassy Lake near Moran; WY,grs,Reservoir Elevation,2019-02-01 00:00:00,7202,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-24 00:00:00,85369,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-23 00:00:00,85238,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-22 00:00:00,85173,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-21 00:00:00,85108,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-20 00:00:00,85173,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-19 00:00:00,85043,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-18 00:00:00,85043,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-17 00:00:00,84978,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-16 00:00:00,85108,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-15 00:00:00,84848,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-14 00:00:00,84783,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-13 00:00:00,84653,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-12 00:00:00,84848,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-11 00:00:00,84913,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-10 00:00:00,84848,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-09 00:00:00,84589,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-08 00:00:00,84395,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-07 00:00:00,84395,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-06 00:00:00,84395,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-05 00:00:00,84459,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-04 00:00:00,84330,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-03 00:00:00,83751,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-02 00:00:00,83623,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Storage,2019-02-01 00:00:00,83304,Acre feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-24 00:00:00,15.94,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-23 00:00:00,15.92,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-22 00:00:00,15.91,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-21 00:00:00,15.9,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-20 00:00:00,15.91,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-19 00:00:00,15.89,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-18 00:00:00,15.89,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-17 00:00:00,15.88,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-16 00:00:00,15.9,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-15 00:00:00,15.86,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-14 00:00:00,15.85,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-13 00:00:00,15.83,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-12 00:00:00,15.86,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-11 00:00:00,15.87,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-10 00:00:00,15.86,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-09 00:00:00,15.82,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-08 00:00:00,15.79,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-07 00:00:00,15.79,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-06 00:00:00,15.79,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-05 00:00:00,15.8,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-04 00:00:00,15.78,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-03 00:00:00,15.69,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-02 00:00:00,15.67,Feet
Henrys Lake Dam on Henrys Fork nr. Lake; ID,hen,Reservoir Elevation,2019-02-01 00:00:00,15.62,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-24 00:00:00,118398,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-23 00:00:00,118247,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-22 00:00:00,118174,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-21 00:00:00,118247,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-20 00:00:00,118398,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-19 00:00:00,118549,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-18 00:00:00,118622,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-17 00:00:00,118773,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-16 00:00:00,119002,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-15 00:00:00,119458,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-14 00:00:00,119458,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-13 00:00:00,119380,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-12 00:00:00,119154,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-11 00:00:00,119228,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-10 00:00:00,119380,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-09 00:00:00,119228,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-08 00:00:00,119228,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-07 00:00:00,119306,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-06 00:00:00,119458,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-05 00:00:00,119907,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-04 00:00:00,119980,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-03 00:00:00,119907,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-02 00:00:00,119532,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Storage,2019-02-01 00:00:00,119306,Acre feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-24 00:00:00,6300.84,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-23 00:00:00,6300.82,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-22 00:00:00,6300.81,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-21 00:00:00,6300.82,Feet
Island Park Dam and Reservoir; ID,isl,Reservoir Elevation,2019-02-20 00:00:00,6300.84,Feet
