# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Fairfield; Idaho AgriMet Weather Station,ID,43.31305,-114.82222,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,fafi,1535.58
Snake River near Flagg Ranch; WY,WY,44.09914518,-110.667458,US/Mountain,00:00.0,13010065,ft,0,Bill_KML,,,stream,usgs/pnro,PN,flgy,0
Forest Grove; Oregon AgriMet Weather Station,OR,45.55305,-123.08361,US/Pacific,5/1/1989,,m,0,agrimet_map,,,agrimet,pnro,PN,fogo,54.86
Fort Hall; Idaho AgriMet Weather Station,ID,43.07138,-112.43111,US/Mountain,11/15/1992,,m,0,agrimet_map,,,agrimet,pnro,PN,fthi,1354.84
Grand Coulee Dam; Washington AgriMet Weather Station,WA,47.94527,-118.95361,US/Pacific,4/16/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,gcdw,402.34
Grand View; Idaho AgriMet Weather Station,ID,42.9125,-116.05611,US/Mountain,10/1/1992,,m,0,agrimet_map,,,agrimet,pnro,PN,gdvi,786.38
George; Washington AgriMet Weather Station,WA,47.04388,-119.64222,US/Pacific,5/1/1986,,m,0,agrimet_map,,,agrimet,pnro,PN,gerw,350.52
Glenns Ferry; Idaho AgriMet Weather Station,ID,42.86666,-115.35694,US/Mountain,11/15/1992,,m,0,agrimet_map,,,agrimet,pnro,PN,gfri,922.02
Goldendale; Washington AgriMet Weather Station,WA,45.81194,-120.82444,US/Pacific,10/24/1991,,m,0,agrimet_map,,,agrimet,pnro,PN,golw,512.06
Greys River above Reservoir near Alpine; WY,WY,43.14296552,-110.9767506,US/Mountain,00:00.0,13023000,ft,0,Bill_KML,,,stream,usgs/pnro,PN,grey,5720
Grassy Lake near Moran; WY,WY,44.12965909,-110.8193888,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,grs,7135
INL - Hamer;  Idaho Weather Station,ID,44.007417,-112.238833,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,hami,1476.1464
Snake River near Heise; ID,ID,43.61239853,-111.6598844,US/Mountain,00:00.0,13037500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,heii,5015
Henrys Lake Dam on Henrys Fork nr. Lake; ID,ID,44.597222,-111.353611,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,hen,6457
Henrys Fork near Lake; ID,ID,44.59521279,-111.3495995,US/Mountain,00:00.0,13039500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,heni,6451
Hermiston; Oregon AgriMet Weather Station,OR,45.82111,-119.52138,US/Pacific,5/1/1983,,m,0,agrimet_map,,,agrimet,pnro,PN,hero,167.64
HUNGRY HORSE RES NR HUNGRY HORSE; MT,MT,48.34111,-114.01334,,,,,0,,,,reservoir,,PN,hgh,
Hood River; Oregon AgriMet Weather Station,OR,45.68444,-121.51805,US/Pacific,5/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,hoxo,155.45
Hereford; Oregon AgriMet Weather Station,OR,44.48805,-118.02,US/Pacific,4/28/1998,,m,0,agrimet_map,,,agrimet,pnro,PN,hrfo,1097.28
Harrah; Washington AgriMet Weather Station,WA,46.38472,-120.57444,US/Pacific,5/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,hrhw,259.08
Hermiston R & E Center; Oregon AgriMet Weather Station,OR,45.81944,-119.28333,US/Pacific,7/15/1993,,m,0,agrimet_map,,,agrimet,pnro,PN,hrmo,185.01
INL - Richfield;  Idaho Weather Station,ID,43.0606,-114.134583,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,ichi,1328.3184
INL - Idaho Falls;  Idaho Weather Station,ID,43.504133,-112.050133,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,ifai,1435.3032
INL - INTEC/Grid 3; Idaho,ID,43.5897,-112.730267,US/Mountain,,,ft,0,,,,agrimet,noaa,PN,igri,1606.627297
Imbler; Oregon AgriMet Weather Station,OR,45.43333,-117.96666,US/Pacific,4/1/1994,,m,0,agrimet_map,,,agrimet,pnro,PN,imbo,838.2
Island Park Dam and Reservoir; ID,ID,44.41893154,-111.3984276,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,isl,6302
Henrys Fork near Island Park; ID,ID,44.41639,-111.39472,US/Mountain,00:00.0,13042500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,isli,6225
